symbol,ts,open,high,low,close,volume,timeframe
AAPL,2026-04-08 15:51:00,258.01,258.1,257.83,257.84,32106.0,1m
AAPL,2026-04-08 15:52:00,257.85,257.86,257.57,257.62,32706.0,1m
AAPL,2026-04-08 15:53:00,257.62,257.65,257.48,257.62,31453.0,1m
AAPL,2026-04-08 15:54:00,257.64,257.66,257.56,257.61,30655.0,1m
AAPL,2026-04-08 15:55:00,257.62,257.64,257.41,257.6,61265.0,1m
AAPL,2026-04-08 15:56:00,257.6,257.69,257.52,257.54,52407.0,1m
AAPL,2026-04-08 15:57:00,257.54,257.66,257.51,257.65,19254.0,1m
AAPL,2026-04-08 15:58:00,257.65,257.75,257.62,257.64,29239.0,1m
AAPL,2026-04-08 15:59:00,257.65,257.65,257.5,257.62,16507.0,1m
AAPL,2026-04-08 16:00:00,257.62,257.89,257.54,257.85,22962.0,1m
AAPL,2026-04-08 16:01:00,257.87,258.09,257.87,258.0,30231.0,1m
AAPL,2026-04-08 16:02:00,258.0,258.12,257.98,258.12,38226.0,1m
AAPL,2026-04-08 16:03:00,258.11,258.21,258.07,258.12,52202.0,1m
AAPL,2026-04-08 16:04:00,258.13,258.13,257.94,258.02,35944.0,1m
AAPL,2026-04-08 16:05:00,258.02,258.08,257.99,258.01,21262.0,1m
AAPL,2026-04-08 16:06:00,257.99,258.06,257.91,257.92,27294.0,1m
AAPL,2026-04-08 16:07:00,257.9,257.96,257.86,257.96,16815.0,1m
AAPL,2026-04-08 16:08:00,257.97,258.01,257.92,257.99,16566.0,1m
AAPL,2026-04-08 16:09:00,257.98,258.0,257.8,257.82,13790.0,1m
AAPL,2026-04-08 16:10:00,257.81,257.81,257.67,257.8,25976.0,1m
AAPL,2026-04-08 16:11:00,257.79,257.89,257.71,257.89,19464.0,1m
AAPL,2026-04-08 16:12:00,257.88,257.95,257.79,257.81,15131.0,1m
AAPL,2026-04-08 16:13:00,257.79,257.82,257.74,257.8,19501.0,1m
AAPL,2026-04-08 16:14:00,257.81,257.83,257.51,257.52,40538.0,1m
AAPL,2026-04-08 16:15:00,257.54,257.56,257.3,257.32,33656.0,1m
AAPL,2026-04-08 16:16:00,257.32,257.33,257.13,257.22,65324.0,1m
AAPL,2026-04-08 16:17:00,257.21,257.25,257.12,257.15,19327.0,1m
AAPL,2026-04-08 16:18:00,257.13,257.29,257.1,257.26,35229.0,1m
AAPL,2026-04-08 16:19:00,257.26,257.33,257.11,257.17,46755.0,1m
AAPL,2026-04-08 16:20:00,257.15,257.33,257.15,257.26,35221.0,1m
AAPL,2026-04-08 16:21:00,257.26,257.42,257.23,257.35,27130.0,1m
AAPL,2026-04-08 16:22:00,257.35,257.46,257.23,257.44,24456.0,1m
AAPL,2026-04-08 16:23:00,257.44,257.48,257.32,257.45,15162.0,1m
AAPL,2026-04-08 16:24:00,257.49,257.52,257.44,257.47,23815.0,1m
AAPL,2026-04-08 16:25:00,257.48,257.52,257.34,257.36,21973.0,1m
AAPL,2026-04-08 16:26:00,257.37,257.56,257.36,257.51,28142.0,1m
AAPL,2026-04-08 16:27:00,257.51,257.53,257.43,257.48,16168.0,1m
AAPL,2026-04-08 16:28:00,257.5,257.52,257.39,257.43,19730.0,1m
AAPL,2026-04-08 16:29:00,257.44,257.46,257.34,257.43,20244.0,1m
AAPL,2026-04-08 16:30:00,257.43,257.58,257.42,257.48,31110.0,1m
AAPL,2026-04-08 16:31:00,257.49,257.61,257.49,257.56,21845.0,1m
AAPL,2026-04-08 16:32:00,257.57,257.8,257.57,257.75,35915.0,1m
AAPL,2026-04-08 16:33:00,257.76,257.81,257.73,257.8,25348.0,1m
AAPL,2026-04-08 16:34:00,257.81,257.9,257.78,257.9,22101.0,1m
AAPL,2026-04-08 16:35:00,257.89,258.02,257.88,257.97,38963.0,1m
AAPL,2026-04-08 16:36:00,257.96,257.97,257.88,257.93,9697.0,1m
AAPL,2026-04-08 16:37:00,257.94,258.0,257.77,257.83,51886.0,1m
AAPL,2026-04-08 16:38:00,257.82,257.9,257.73,257.78,35876.0,1m
AAPL,2026-04-08 16:39:00,257.81,257.94,257.78,257.86,44477.0,1m
AAPL,2026-04-08 16:40:00,257.84,257.98,257.79,257.98,39752.0,1m
AAPL,2026-04-08 16:41:00,257.97,258.02,257.95,258.0,37009.0,1m
AAPL,2026-04-08 16:42:00,258.0,258.18,258.0,258.08,79448.0,1m
AAPL,2026-04-08 16:43:00,258.08,258.13,258.02,258.06,21553.0,1m
AAPL,2026-04-08 16:44:00,258.08,258.34,258.07,258.32,38063.0,1m
AAPL,2026-04-08 16:45:00,258.3,258.45,258.26,258.31,28745.0,1m
AAPL,2026-04-08 16:46:00,258.31,258.35,258.22,258.23,21851.0,1m
AAPL,2026-04-08 16:47:00,258.23,258.33,258.21,258.31,19642.0,1m
AAPL,2026-04-08 16:48:00,258.32,258.42,258.31,258.33,19973.0,1m
AAPL,2026-04-08 16:49:00,258.32,258.34,258.23,258.31,17650.0,1m
